id	name_abbr	name	division	taxonomy	ncbi_taxon_id	genome_assembly	genome_accession	gff	ensembl_db
39	ame	Apis mellifera	AME	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7460	AMEL4.5	NCBI_Assembly:GCA_000002195.1	1	NULL
40	bmo	Bombyx mori	BMO	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7091	ASM15162v1	NCBI_Assembly:GCA_000151625.1	1	NULL
41	dan	Drosophila ananassae	DAN	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7217	dana_r1.3_FB2010_03	NULL	0	NULL
42	der	Drosophila erecta	DER	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7220	dere_r1.3_FB2010_02	NULL	0	NULL
43	dgr	Drosophila grimshawi	DGR	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7222	dgri_r1.3_FB2010_02	NULL	0	NULL
44	dme	Drosophila melanogaster	DME	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7227	Release_6	NCBI_Assembly:GCA_000001215.4	1	NULL
45	dmo	Drosophila mojavensis	DMO	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7230	dmoj_r1.3_FB2010_02	NULL	0	NULL
46	dpe	Drosophila persimilis	DPE	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7234	dper_r1.3_FB2010_02	NULL	0	NULL
47	dps	Drosophila pseudoobscura	DPS	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7237	dpse_r2.26_FB2012_01	NULL	1	NULL
48	dse	Drosophila sechellia	DSE	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7238	dsec_r1.3_FB2010_02	NULL	0	NULL
49	dsi	Drosophila simulans	DSI	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7240	dsim_caf1	NCBI_Assembly:GCA_000259055.1	0	NULL
50	dvi	Drosophila virilis	DVI	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7244	DroVir3	NULL	0	NULL
51	dwi	Drosophila willistoni	DWI	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7260	dwil_r1.3_FB2010_02	NULL	0	NULL
52	dya	Drosophila yakuba	DYA	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7245	dyak_caf1	NCBI_Assembly:GCA_000005975.1	0	NULL
53	lmi	Locusta migratoria	LMI	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7004	NULL	NULL	0	NULL
54	tca	Tribolium castaneum	TCA	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7070	Tcas4.0	NULL	0	NULL
55	dpu	Daphnia pulex	DPU	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Crustacea;	6669	V1.0	NCBI_Assembly:GCA_000187875.1	0	NULL
56	isc	Ixodes scapularis	ISC	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;	6945	Iscaw1	NULL	0	NULL
57	cbr	Caenorhabditis briggsae	CBR	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6238	CB4	NCBI_Assembly:GCA_000004555.3	1	NULL
58	cel	Caenorhabditis elegans	CEL	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6239	WBcel235	NCBI_Assembly:GCA_000002985.3	1	NULL
59	sja	Schistosoma japonicum	SJA	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	6182	ASM15177v1	NCBI_Assembly:GCA_000151775.1	0	NULL
60	sma	Schistosoma mansoni	SMA	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	6183	WTSI5	NULL	0	NULL
61	sme	Schmidtea mediterranea	SME	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	79327	WUSTL3.1	NULL	1	NULL
62	cte	Capitella teleta	CTE	Metazoa;Bilateria;Lophotrochozoa;Annelida;	283909	Capca1	NCBI_Assembly:GCA_000328365.1	0	NULL
63	cla	Cerebratulus lacteus	CLA	Metazoa;Bilateria;Lophotrochozoa;Nemertea;	6221	NULL	NULL	0	NULL
64	hru	Haliotis rufescens	HRU	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	6454	NULL	NULL	0	NULL
65	lgi	Lottia gigantea	LGI	Metazoa;Bilateria;Lophotrochozoa;Mollusca;	225164	Helro1	NCBI_Assembly:GCA_000327385.1	0	NULL
66	ddi	Dictyostelium discoideum	DDI	Mycetozoa;	44689	DictyBase2009	NULL	0	NULL
67	cre	Chlamydomonas reinhardtii	CRE	Viridiplantae;Chlorophyta;	3055	CHLRE3.1		1	NULL
68	pta	Pinus taeda	PTA	Viridiplantae;Coniferophyta;	3352	NULL	NULL	0	NULL
69	ppt	Physcomitrella patens	PPT	Viridiplantae;Embryophyta;	3218	v3.0	NULL	0	NULL
70	smo	Selaginella moellendorffii	SMO	Viridiplantae;Embryophyta;	88036	NULL	NULL	0	NULL
71	ath	Arabidopsis thaliana	ATH	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;	3702	TAIR10	NCBI_Assembly:GCA_000001735.1	1	NULL
72	bna	Brassica napus	BNA	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;	3708	BrassicaDB-20080411	NULL	0	NULL
73	bol	Brassica oleracea	BOL	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;	3712	NULL	NULL	0	NULL
74	bra	Brassica rapa	BRA	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;	3711	Brapa_1.1	NCBI_Assembly:GCA_000309985.1	0	NULL
75	cpa	Carica papaya	CPA	Viridiplantae;Magnoliophyta;eudicotyledons;Caricaceae;	3649	NULL	NULL	0	NULL
76	gma	Glycine max	GMA	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	3847	Glycine_max_v2.0	NCBI_Assembly:GCA_000004515.3	0	NULL
77	lja	Lotus japonicus	LJA	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	34305	lj2.5	NULL	0	NULL
78	mtr	Medicago truncatula	MTR	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	3880	JCVI_Mt3.5.2	NULL	0	NULL
79	vun	Vigna unguiculata	VUN	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	3917	NULL	NULL	0	NULL
80	ghb	Gossypium herbaceum	GHB	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;	34274	NULL	NULL	0	NULL
81	ghr	Gossypium hirsutum	GHR	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;	3635	NULL	NULL	0	NULL
82	gra	Gossypium raimondii	GRA	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;	29730	Graimondii2_0	NCBI_Assembly:GCA_000327365.1	0	NULL
83	ptc	Populus trichocarpa	PTC	Viridiplantae;Magnoliophyta;eudicotyledons;Salicaceae;	3694	Poptr2_0	NCBI_Assembly:GCA_000002775.2	1	NULL
84	sly	Solanum lycopersicum	SLY	Viridiplantae;Magnoliophyta;eudicotyledons;Solanaceae;	4081	SL2.50	NCBI_Assembly:GCA_000188115.2	0	NULL
85	vvi	Vitis vinifera	VVI	Viridiplantae;Magnoliophyta;eudicotyledons;Vitaceae;	29760	12X	NCBI_Assembly:GCA_000003745.2	1	NULL
86	osa	Oryza sativa	OSA	Viridiplantae;Magnoliophyta;monocotyledons;	4530	MSU7		1	NULL
87	sbi	Sorghum bicolor	SBI	Viridiplantae;Magnoliophyta;monocotyledons;	4558	Sorghum_bicolor_NCBIv3	NCBI_Assembly:GCA_000003195.3	0	NULL
88	sof	Saccharum officinarum	SOF	Viridiplantae;Magnoliophyta;monocotyledons;	4547	NULL	NULL	0	NULL
89	tae	Triticum aestivum	TAE	Viridiplantae;Magnoliophyta;monocotyledons;	4565	NULL	NULL	0	NULL
90	zma	Zea mays	ZMA	Viridiplantae;Magnoliophyta;monocotyledons;	4577	B73_RefGen_v4	NCBI_Assembly:GCA_000005005.6	1	NULL
91	bkv	BK polyomavirus	VRL	Viruses;	10629	NULL	NULL	0	NULL
92	ebv	Epstein Barr virus	VRL	Viruses;	10376	EMBL:AJ507799.2	NULL	1	NULL
93	hcmv	Human cytomegalovirus	VRL	Viruses;	10359	EMBL:X17403.1	NULL	1	NULL
94	hiv1	Human immunodeficiency virus 1	VRL	Viruses;	11676	NULL	NULL	0	NULL
95	hsv1	Herpes Simplex Virus 1	VRL	Viruses;	10298	NULL	NULL	0	NULL
96	jcv	JC polyomavirus	VRL	Viruses;	10632	NULL	NULL	0	NULL
97	kshv	Kaposi sarcoma-associated herpesvirus	VRL	Viruses;	37296	EMBL:U75698.1	NULL	1	NULL
98	mcmv	Mouse cytomegalovirus	VRL	Viruses;	10366	NULL	NULL	0	NULL
99	mdv1	Mareks disease virus type 1	VRL	Viruses;	10390	EMBL:AF243438.1	NULL	0	NULL
100	mdv2	Mareks disease virus type 2	VRL	Viruses;	36353	NULL	NULL	0	NULL
101	mghv	Mouse gammaherpesvirus 68	VRL	Viruses;	33708	EMBL:U97553.1	NULL	1	NULL
102	rlcv	Rhesus lymphocryptovirus	VRL	Viruses;	45455	NULL	NULL	0	NULL
103	rrv	Rhesus monkey rhadinovirus	VRL	Viruses;	703611	EMBL:AF210726.1	NULL	0	NULL
104	sv40	Simian virus 40	VRL	Viruses;	10633	NULL	NULL	0	NULL
105	hsv2	Herpes Simplex Virus 2	VRL	Viruses;	10310	NULL	NULL	0	NULL
106	pvu	Phaseolus vulgaris	PVU	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	3885	PhaVulg1_0	NCBI_Assembly:GCA_000499845.1	0	NULL
107	mdm	Malus domestica	MDM	Viridiplantae;Magnoliophyta;eudicotyledons;Rosaceae;	3750	NULL	NULL	0	NULL
108	crm	Caenorhabditis remanei	CRM	Metazoa;Bilateria;Ecdysozoa;Nematoda;	31234	WS200	NULL	0	NULL
109	ppc	Pristionchus pacificus	PPC	Metazoa;Bilateria;Ecdysozoa;Nematoda;	54126	El_Paco	NCBI_Assembly:GCA_000180635.3	0	NULL
110	hbv	Herpes B virus	VRL	Viruses;	10325	Refseq:NC_004812	NULL	0	NULL
111	bdi	Brachypodium distachyon	BDI	Viridiplantae;Magnoliophyta;monocotyledons;	15368	Bd21	NCBI_Assembly:GCA_000005505.1	0	NULL
112	aqc	Aquilegia caerulea	AQC	Viridiplantae;Magnoliophyta;eudicotyledons;Ranunculaceae;	218851	NULL	NULL	0	NULL
113	iltv	Infectious laryngotracheitis virus	VRL	Viruses;	10386	NULL	NULL	0	NULL
114	hvt	Herpesvirus of turkeys	VRL	Viruses;	37108	NULL	NULL	0	NULL
115	peu	Populus euphratica	PEU	Viridiplantae;Magnoliophyta;eudicotyledons;Salicaceae;	75702	NULL	NULL	0	NULL
116	eca	Equus caballus	ECA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Laurasiatheria;	9796	EquCab2.0	NCBI_Assembly:GCF_000002305.2	0	NULL
117	ola	Oryzias latipes	OLA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	8090	MEDAKA1	NULL	0	NULL
118	bhv1	Bovine herpesvirus 1	VRL	Viruses;	10320	NULL	NULL	0	NULL
119	csi	Citrus sinensis	CSI	Viridiplantae;Magnoliophyta;eudicotyledons;Rutaceae;	2711	Csi_valencia_1.0	NCBI_Assembly:GCA_000317415.1	0	NULL
120	ccl	Citrus clementina	CCL	Viridiplantae;Magnoliophyta;eudicotyledons;Rutaceae;	85681	NULL	NULL	0	NULL
121	crt	Citrus reticulata	CRT	Viridiplantae;Magnoliophyta;eudicotyledons;Rutaceae;	85571	NULL	NULL	0	NULL
122	ctr	Citrus trifoliata	CTR	Viridiplantae;Magnoliophyta;eudicotyledons;Rutaceae;	37690	NULL	NULL	0	NULL
123	bma	Brugia malayi	BMA	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6279	PRJNA10729_WB240	NCBI_Assembly:GCA_000002995.2	0	NULL
124	api	Acyrthosiphon pisum	API	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7029	Acyr_2.0	NCBI_Assembly:GCA_000142985.2	0	NULL
125	rco	Ricinus communis	RCO	Viridiplantae;Magnoliophyta;eudicotyledons;Euphorbiaceae;	3988	JCVI_RCG_1.1	NCBI_Assembly:JCVI_RCG_1.1	0	NULL
126	aae	Aedes aegypti	AAE	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7159	AaegL1	NULL	1	NULL
127	gar	Gossypium arboreum	GAR	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;	29729	NULL	NULL	0	NULL
128	cqu	Culex quinquefasciatus	CQU	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7176	CpipJ1	NULL	0	NULL
129	tgu	Taeniopygia guttata	TGU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Aves;	59729	taeGlu3.2.4	NULL	0	NULL
130	aly	Arabidopsis lyrata	ALY	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;	59689	v1.0	NCBI_Assembly:GCA_000004255.1	0	NULL
131	esi	Ectocarpus siliculosus	ESI	Chromalveolata;Heterokontophyta;	2880	EctsiV2	NULL	0	NULL
132	nvi	Nasonia vitripennis	NVI	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7425	Nvit_2.1	NCBI_Assembly:GCA_000002325.2	0	NULL
133	ahy	Arachis hypogaea	AHY	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	3818	NULL	NULL	0	NULL
134	gso	Glycine soja	GSO	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	3848	NULL	NULL	0	NULL
135	pab	Picea abies	PAB	Viridiplantae;Coniferophyta;	3329	NULL	NULL	0	NULL
136	ttu	Triticum turgidum	TTU	Viridiplantae;Magnoliophyta;monocotyledons;	4571	NULL	NULL	0	NULL
137	ata	Aegilops tauschii	ATA	Viridiplantae;Magnoliophyta;monocotyledons;	37682	ASM34733v2	NCBI_Assembly:GCA_000347335.2	0	NULL
138	hvu	Hordeum vulgare	HVU	Viridiplantae;Magnoliophyta;monocotyledons;	4513	Hvul_cvHarunaNijo3HBAC01	NCBI_Assembly:GCA_000227425.1	0	NULL
139	far	Festuca arundinacea	FAR	Viridiplantae;Magnoliophyta;monocotyledons;	4606	NULL	NULL	0	NULL
140	ngi	Nasonia giraulti	NGI	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7426	NULL	NULL	0	NULL
141	nlo	Nasonia longicornis	NLO	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7427	NULL	NULL	0	NULL
142	smr	Strigamia maritima	SMR	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Mandibulata;	126957	NULL	NULL	0	NULL
143	pma	Petromyzon marinus	PMA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Agnathostomata;	7757	Petromyzon_marinus-7.0	NCBI_Assembly:GCA_000148955.1	0	NULL
144	bpa	Brugia pahangi	BPA	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6280	NULL	NULL	0	NULL
145	tcc	Theobroma cacao	TCC	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;	3641	NULL	NULL	0	NULL
146	xbo	Xenoturbella bocki	XBO	Metazoa;Bilateria;Deuterostoma;	242395	NULL	NULL	0	NULL
147	egr	Echinococcus granulosus	EGR	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	6210	ASM52419v1	NCBI_Assembly:GCA_000524195.1	0	NULL
148	emu	Echinococcus multilocularis	EMU	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	6211	WTSI3	NULL	0	NULL
149	hme	Heliconius melpomene	HME	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	34740	HelMel1.1	NULL	0	NULL
150	rgl	Rehmannia glutinosa	RGL	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;	99300	NULL	NULL	0	NULL
151	bpcv2	Bandicoot papillomatosis carcinomatosis virus type 2	VRL	Viruses;	500654	NULL	NULL	0	NULL
152	bpcv1	Bandicoot papillomatosis carcinomatosis virus type 1	VRL	Viruses;	479058	NULL	NULL	0	NULL
153	ssp	Saccharum sp.	SSP	Viridiplantae;Magnoliophyta;monocotyledons;	15819	NULL	NULL	0	NULL
154	bgy	Bruguiera gymnorhiza	BGY	Viridiplantae;Magnoliophyta;eudicotyledons;Rhizophoraceae;	39984	NULL	NULL	0	NULL
155	bcy	Bruguiera cylindrica	BCY	Viridiplantae;Magnoliophyta;eudicotyledons;Rhizophoraceae;	106616	NULL	NULL	0	NULL
156	gpy	Glottidia pyramidata	GPY	Metazoa;Bilateria;Lophotrochozoa;Brachiopoda;	34515	NULL	NULL	0	NULL
157	tre	Terebratulina retusa	TRE	Metazoa;Bilateria;Lophotrochozoa;Brachiopoda;	7580	NULL	NULL	0	NULL
158	cme	Cucumis melo	CME	Viridiplantae;Magnoliophyta;eudicotyledons;Cucurbitaceae;	3656	NULL	NULL	0	NULL
159	rmi	Rhipicephalus microplus	RMI	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;	6941	NULL	NULL	0	NULL
160	asu	Ascaris suum	ASU	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6253	NULL	NULL	0	NULL
161	aca	Anolis carolinensis	ACA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Sauria;	28377	AnoCar2.0	NCBI_Assembly:GCA_000090745.2	0	NULL
162	amg	Acacia mangium	AMG	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	224085	NULL	NULL	0	NULL
163	aau	Acacia auriculiformis	AAU	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;	205027	NULL	NULL	0	NULL
164	pti	Phaeodactylum tricornutum	PTI	Chromalveolata;Heterokontophyta;	2850	ASM15095v2	NCBI_Assembly:GCA_000150955.2	0	NULL
165	hvsa	Herpesvirus saimiri strain A11	VRL	Viruses;	570519	NULL	NULL	0	NULL
166	neu	Notamacropus eugenii	NEU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Metatheria;	9315	mMacEug1.pri_v2	NCBI_Assembly: GCA_028372415.1	0	NULL
167	ssl	Salvia sclarea	SSL	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;	38869	NULL	NULL	0	NULL
168	sha	Sarcophilus harrisii	SHA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Metatheria;	9305	DEVIL7_0	NULL	0	NULL
169	tur	Tetranychus urticae	TUR	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;	32264	NULL	NULL	0	NULL
170	hco	Haemonchus contortus	HCO	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6289	NULL	NULL	0	NULL
171	hhv6b	Human herpesvirus 6B	VRL	Viruses;	32604	NULL	NULL	0	NULL
172	dpr	Digitalis purpurea	DPR	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;	4164	NULL	NULL	0	NULL
173	nta	Nicotiana tabacum	NTA	Viridiplantae;Magnoliophyta;eudicotyledons;Solanaceae;	4097	NULL	NULL	0	NULL
174	stu	Solanum tuberosum	STU	Viridiplantae;Magnoliophyta;eudicotyledons;Solanaceae;	4113	SolTub3.0	NCBI_Assembly:GCA_000226075.1	0	NULL
175	egu	Elaeis guineensis	EGU	Viridiplantae;Magnoliophyta;monocotyledons;	51953	NULL	NULL	0	NULL
176	mes	Manihot esculenta	MES	Viridiplantae;Magnoliophyta;eudicotyledons;Euphorbiaceae;	3983	Cassava4	NULL	0	NULL
177	mse	Manduca sexta	MSE	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7130	Msex1.0	NCBI_Assembly:GCA_000262585.1	0	NULL
178	cca	Cynara cardunculus	CCA	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;	4265	NULL	NULL	0	NULL
179	hbr	Hevea brasiliensis	HBR	Viridiplantae;Magnoliophyta;eudicotyledons;Euphorbiaceae;	3981	Hevbra_1.0	NCBI_Assembly:GCA_000340545.1	0	NULL
180	mja	Marsupenaeus japonicus	MJA	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Crustacea;	27405	NULL	NULL	0	NULL
181	prv	Pseudorabies virus	VRL	Viruses;	10345	NC_006151.1	NULL	0	NULL
182	pde	Pinus densata	PDE	Viridiplantae;Coniferophyta;	190402	NULL	NULL	0	NULL
183	pol	Paralichthys olivaceus	POL	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	8255	NULL	NULL	0	NULL
184	han	Helianthus annuus	HAN	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;	4232	NULL	NULL	0	NULL
185	hci	Helianthus ciliaris	HCI	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;	73280	NULL	NULL	0	NULL
186	htu	Helianthus tuberosus	HTU	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;	4233	NULL	NULL	0	NULL
187	hex	Helianthus exilis	HEX	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;	400408	NULL	NULL	0	NULL
188	har	Helianthus argophyllus	HAR	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;	73275	NULL	NULL	0	NULL
189	hpe	Helianthus petiolaris	HPE	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;	4234	NULL	NULL	0	NULL
190	hpa	Helianthus paradoxus	HPA	Viridiplantae;Magnoliophyta;eudicotyledons;Asteraceae;	73304	NULL	NULL	0	NULL
191	hhi	Hippoglossus hippoglossus	HHI	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	8267	NULL	NULL	0	NULL
192	blv	Bovine leukemia virus	VRL	Viruses;	11901	K02120.1	NULL	0	NULL
193	ccr	Cyprinus carpio	CCR	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	7962	NULL	NULL	0	NULL
194	cln	Cunninghamia lanceolata	CLN	Viridiplantae;Coniferophyta;	28977	NULL	NULL	0	NULL
195	lus	Linum usitatissimum	LUS	Viridiplantae;Magnoliophyta;eudicotyledons;Linaceae;	4006	NULL	NULL	0	NULL
196	pgi	Panax ginseng	PGI	Viridiplantae;Magnoliophyta;eudicotyledons;Araliaceae;	4054	NULL	NULL	0	NULL
197	dev	Duck enteritis virus	VRL	Viruses;	104388	NULL	NULL	0	NULL
198	ppe	Prunus persica	PPE	Viridiplantae;Magnoliophyta;eudicotyledons;Rosaceae;	3760	Prunus_persica_NCBIv2	NCBI_Assembly:GCA_000346465.2	0	NULL
199	aja	Artibeus jamaicensis	AJA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Laurasiatheria;	9417	NULL	NULL	0	NULL
200	ipu	Ictalurus punctatus	IPU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	7998	NULL	NULL	0	NULL
201	cbn	Caenorhabditis brenneri	CBN	Metazoa;Bilateria;Ecdysozoa;Nematoda;	135651	C_brenneri-6.0.1b	NCBI_Assembly:GCA_000143925.2	0	NULL
202	sci	Sycon ciliatum	SCI	Metazoa;Porifera;	27933	NULL	NULL	0	NULL
203	lco	Leucosolenia complicata	LCO	Metazoa;Porifera;	433461	NULL	NULL	0	NULL
204	prd	Panagrellus redivivus	PRD	Metazoa;Bilateria;Ecdysozoa;Nematoda;	6233	Pred3	NCBI_Assembly:GCA_000341325.1	0	NULL
205	ama	Avicennia marina	AMA	Viridiplantae;Magnoliophyta;eudicotyledons;Lamiales;	82927	NULL	NULL	0	NULL
206	bbe	Branchiostoma belcheri	BBE	Metazoa;Bilateria;Deuterostoma;Chordata;Cephalochordata;	7741	NULL	NULL	0	NULL
207	pmi	Patiria miniata	PMI	Metazoa;Bilateria;Deuterostoma;Echinodermata;	46514	NULL	NULL	0	NULL
