id	name_abbr	name	division	taxonomy	ncbi_taxon_id	genome_assembly	genome_accession	gff	ensembl_db
250	abu	Astatotilapia burtoni	ABU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	8153	AstBur1.0	NCBI_Assembly:GCA_000239415.1	0	NULL
251	mze	Metriaclima zebra	MZE	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	106582	M_zebra_UMD1	NCBI_Assembly:GCA_000238955.3	0	NULL
252	nbr	Neolamprologus brichardi	NBR	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	32507	NeoBri1.0	NCBI_Assembly:GCA_000239395.1	0	NULL
253	pny	Pundamilia nyererei	PNY	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	303518	PunNye1.0	NCBI_Assembly:GCA_000239375.1	0	NULL
254	seu	Salicornia europaea	SEU	Viridiplantae;Magnoliophyta;eudicotyledons;Amaranthaceae;	206448	NULL	NULL	0	NULL
255	bbu	Bubalus bubalis	BBU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Laurasiatheria;	89462	NULL	NULL	0	NULL
256	eel	Electrophorus electricus	EEL	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	8005	MSU_v1.0	NULL	0	NULL
257	gmo	Gadus morhua	GMO	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	8049	GadMor_May2010	NCBI_Assembly:GCA_000231765.1	0	NULL
258	fve	Fragaria vesca	FVE	Viridiplantae;Magnoliophyta;eudicotyledons;Rosaceae;	101020	v1.1	NULL	0	NULL
259	cst	Cucumis sativus	CST	Viridiplantae;Magnoliophyta;eudicotyledons;Cucurbitaceae;	3659	ASM407v2	NCBI_Assembly:GCA_000004075.2	0	NULL
260	fhe	Fasciola hepatica	FHE	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	6192	Fhepatica_v1	NCBI_Assembly:GCA_000947175.1	0	NULL
261	apl	Anas platyrhynchos	APL	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Aves;	8839	BGI_duck_1.0	NCBI_Assembly:GCA_000355885.1	0	NULL
262	bib	Biston betularia	BIB	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	82595	NULL	NULL	0	NULL
263	cas	Camelina sativa	CAS	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;	90675	Cs	NCBI_Assembly:GCA_000633955.1	0	NULL
264	bdo	Bactrocera dorsalis	BDO	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	27457	ASM78921v2	NCBI_Assembly:GCA_000789215.2	0	NULL
265	pla	Paeonia lactiflora	PLA	Viridiplantae;Magnoliophyta;eudicotyledons;Paeoniaceae;	35924	NULL	NULL	0	NULL
266	dqu	Dinoponera quadriceps	DQU	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	609295	NULL	NULL	0	NULL
267	pca	Polistes canadensis	PCA	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	91411	NULL	NULL	0	NULL
268	mpo	Marchantia polymorpha	MPO	Viridiplantae;Embryophyta;	3197	NULL	NULL	0	NULL
269	pte	Parasteatoda tepidariorum	PTE	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Chelicerata;	114398	NULL	NULL	0	NULL
270	mco	Mesocestoides corti	MCO	Metazoa;Bilateria;Lophotrochozoa;Platyhelminthes;	53468	M_corti_Specht_Voge	NCBI_Assembly:GCA_000951315.1	0	NULL
271	cpo	Cavia porcellus	CPO	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;	10141	cavPor3	NCBI_Assembly:GCA_000151735.1	0	NULL
272	dno	Dasypus novemcinctus	DNO	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Cingulata;	9361	dasNov3.0	NCBI_Assembly:GCA_000208655.2	0	NULL
